               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.020166,           0.0091249,           0.0020897,             0.93144,             0.91377,             0.92388,              0.7121,             0.01324,             0.00402,           0.0060733,            0.007789,            0.007789,            0.007789
                  69,            0.019858,            0.009033,           0.0022881,              0.9266,             0.85494,             0.88773,             0.67229,            0.013086,            0.004027,           0.0041491,            0.007756,            0.007756,            0.007756
                  70,            0.019938,             0.00906,           0.0020558,             0.83014,             0.79156,             0.82666,             0.64439,            0.013386,           0.0039596,            0.014496,            0.007723,            0.007723,            0.007723
                  71,             0.02008,           0.0090634,           0.0023107,             0.95724,             0.86074,              0.9532,             0.71872,            0.013189,           0.0039976,           0.0018022,             0.00769,             0.00769,             0.00769
                  72,            0.020218,           0.0089987,           0.0022076,             0.96549,             0.85329,             0.93024,             0.70765,             0.01343,           0.0040045,           0.0011656,            0.007657,            0.007657,            0.007657
                  73,            0.020001,           0.0089487,           0.0016454,             0.96119,             0.91266,             0.99318,             0.75893,            0.012485,           0.0038803,           0.0013599,            0.007624,            0.007624,            0.007624
                  74,            0.019891,            0.009006,           0.0019827,             0.95052,             0.85806,             0.89856,             0.67805,            0.012911,           0.0040085,           0.0085179,            0.007591,            0.007591,            0.007591
                  75,            0.019726,           0.0088947,           0.0020601,             0.90631,             0.88971,             0.92154,             0.68988,            0.012774,           0.0038374,           0.0050617,            0.007558,            0.007558,            0.007558
                  76,            0.020089,           0.0090444,           0.0024779,             0.95936,              0.8412,             0.89354,             0.70455,            0.013123,           0.0039074,           0.0031514,            0.007525,            0.007525,            0.007525
                  77,            0.019673,           0.0090698,           0.0018406,             0.91332,             0.93218,             0.98734,             0.76691,            0.013161,           0.0039281,           0.0056747,            0.007492,            0.007492,            0.007492
                  78,            0.020312,           0.0091943,           0.0025913,              0.9298,             0.99112,             0.99374,             0.75431,            0.013225,           0.0039614,            0.001436,            0.007459,            0.007459,            0.007459
                  79,            0.019856,           0.0090055,           0.0017248,             0.94552,             0.92073,             0.93207,             0.72177,            0.012935,            0.003806,           0.0017455,            0.007426,            0.007426,            0.007426
                  80,            0.019648,           0.0090375,           0.0022734,             0.91326,             0.85098,             0.91334,             0.70299,             0.01289,           0.0038185,           0.0062574,            0.007393,            0.007393,            0.007393
                  81,             0.02053,           0.0094442,           0.0033983,             0.93407,             0.99699,              0.9943,             0.73494,            0.013322,           0.0039447,             0.00132,             0.00736,             0.00736,             0.00736
                  82,            0.020145,           0.0090465,           0.0020706,             0.93449,             0.91598,             0.97048,             0.73052,            0.013214,           0.0039155,           0.0086151,            0.007327,            0.007327,            0.007327
